##  Star in a Box 
## https://lco.global/starinabox 
## Data for a 0.25 solar mass star
## Columns are:
## Time, Radius (R_sun), Luminosity (L_sun), Surface Temperature (K), Mass (M_sun)
0.00000000000000E+00,2.67318912713892E-01,9.09576024072851E-03,3.45121841853041E+03,2.50000000000000E-01
5.84107115005561E+03,2.67838348378206E-01,9.12660264555919E-03,3.45078931034287E+03,2.50000000000000E-01
1.16821423001112E+04,2.68359061179040E-01,9.15839895606065E-03,3.45043853260547E+03,2.50000000000000E-01
1.75232134501668E+04,2.68881322965765E-01,9.19115840377692E-03,3.45016433991897E+03,2.50000000000000E-01
2.33642846002224E+04,2.69405407688845E-01,9.22489052129970E-03,3.44996499260834E+03,2.50000000000000E-01
2.92053557502780E+04,2.69931591416768E-01,9.25960514688804E-03,3.44983875634292E+03,2.50000000000000E-01
3.50464269003336E+04,2.70460152355801E-01,9.29531242924686E-03,3.44978390176586E+03,2.50000000000000E-01
4.08874980503893E+04,2.70991370872611E-01,9.33202283246733E-03,3.44979870413266E+03,2.50000000000000E-01
4.67285692004449E+04,2.71525529519816E-01,9.36974714113276E-03,3.44988144295848E+03,2.50000000000000E-01
5.25696403505005E+04,2.72062913064536E-01,9.40849646559320E-03,3.45003040167407E+03,2.50000000000000E-01
5.84107115005561E+04,2.72603808520068E-01,9.44828224741255E-03,3.45024386728969E+03,2.50000000000000E-01
6.42517826506117E+04,2.73148505180809E-01,9.48911626499191E-03,3.45052013006635E+03,2.50000000000000E-01
7.00928538006673E+04,2.73697294660629E-01,9.53101063937286E-03,3.45085748319346E+03,2.50000000000000E-01
7.59339249507229E+04,2.74250470934934E-01,9.57397784022494E-03,3.45125422247151E+03,2.50000000000000E-01
8.17749961007786E+04,2.74808330386746E-01,9.61803069202113E-03,3.45170864599806E+03,2.50000000000000E-01
8.76160672508342E+04,2.75371171857215E-01,9.66318238040601E-03,3.45221905385476E+03,2.50000000000000E-01
9.34571384008898E+04,2.75939296701075E-01,9.70944645876059E-03,3.45278374779240E+03,2.50000000000000E-01
9.92982095509454E+04,2.76513008847696E-01,9.75683685496870E-03,3.45340103091057E+03,2.50000000000000E-01
1.05139280701001E+05,2.77092614868540E-01,9.80536787838958E-03,3.45406920732710E+03,2.50000000000000E-01
1.10980351851056E+05,2.77678424051962E-01,9.85505422704137E-03,3.45478658183215E+03,2.50000000000000E-01
1.16821423001112E+05,2.78270748486560E-01,9.90591099500084E-03,3.45555145952004E+03,2.50000000000000E-01
1.22662494151167E+05,2.78869903154431E-01,9.95795368002433E-03,3.45636214539115E+03,2.50000000000000E-01
1.28503565301223E+05,2.79476206036014E-01,1.00111981913953E-02,3.45721694391442E+03,2.50000000000000E-01
1.34344636451279E+05,2.80089978228423E-01,1.00656608580041E-02,3.45811415853973E+03,2.50000000000000E-01
1.40185707601334E+05,2.80711544079567E-01,1.01213584366661E-02,3.45905209114726E+03,2.50000000000000E-01
1.46026778751390E+05,2.81341231340644E-01,1.01783081206825E-02,3.46002904141943E+03,2.50000000000000E-01
1.51867849901446E+05,2.81979371340043E-01,1.02365275486526E-02,3.46104330611852E+03,2.50000000000000E-01
1.57708921051501E+05,2.82626299182121E-01,1.02960348135413E-02,3.46209317825088E+03,2.50000000000000E-01
1.63549992201557E+05,2.83282353974795E-01,1.03568484720097E-02,3.46317694609605E+03,2.50000000000000E-01
1.69391063351612E+05,2.83947879090447E-01,1.04189875540149E-02,3.46429289207632E+03,2.50000000000000E-01
1.75232134501668E+05,2.84623222465221E-01,1.04824715726867E-02,3.46543929143923E+03,2.50000000000000E-01
1.81073205651724E+05,2.85308736942438E-01,1.05473205344875E-02,3.46661441072225E+03,2.50000000000000E-01
1.86914276801779E+05,2.86004780666570E-01,1.06135549496628E-02,3.46781650596548E+03,2.50000000000000E-01
1.92755347951835E+05,2.86711717534965E-01,1.06811958429909E-02,3.46904382063420E+03,2.50000000000000E-01
1.98596419101891E+05,2.87429917715393E-01,1.07502647648387E-02,3.47029458320935E+03,2.50000000000000E-01
2.04437490251946E+05,2.88159758238348E-01,1.08207838025315E-02,3.47156700439949E+03,2.50000000000000E-01
2.10278561402002E+05,2.88901623674079E-01,1.08927755920460E-02,3.47285927392341E+03,2.50000000000000E-01
2.16119632552057E+05,2.89655906905363E-01,1.09662633300351E-02,3.47416955680738E+03,2.50000000000000E-01
2.21960703702113E+05,2.90423010008219E-01,1.10412707861923E-02,3.47549598913623E+03,2.50000000000000E-01
2.27801774852169E+05,2.91203345254023E-01,1.11178223159658E-02,3.47683667319164E+03,2.50000000000000E-01
2.33642846002224E+05,2.91997336247839E-01,1.11959428736319E-02,3.47818967190537E+03,2.50000000000000E-01
2.39483917152280E+05,2.92805419219259E-01,1.12756580257367E-02,3.47955300254912E+03,2.50000000000000E-01
2.45324988302335E+05,2.93628044483652E-01,1.13569939649164E-02,3.48092462957604E+03,2.50000000000000E-01
