##  Star in a Box 
## https://lco.global/starinabox 
## Data for a 6 solar mass star
## Columns are:
## Time, Radius (R_sun), Luminosity (L_sun), Surface Temperature (K), Mass (M_sun)
0.00000000000000E+00,2.92555603499877E+00,1.00795781982501E+03,1.90341688124071E+04,6.00000000000000E+00
6.83741096298826E-01,2.93959380515658E+00,1.00799665332203E+03,1.89888493206219E+04,5.99991149963871E+00
1.36750472743468E+00,2.95370482715282E+00,1.00820990748347E+03,1.89444382264213E+04,5.99982321255443E+00
2.05129084028426E+00,2.96789537922798E+00,1.00859766824151E+03,1.89009108483009E+04,5.99973510057792E+00
2.73509939143609E+00,2.98217185504807E+00,1.00916011231143E+03,1.88582428028169E+04,5.99964712586169E+00
3.41893034711061E+00,2.99654076535952E+00,1.00989750729115E+03,1.88164099946211E+04,5.99955925083051E+00
4.10278368309290E+00,3.01100873978359E+00,1.01081021184002E+03,1.87753886068201E+04,5.99947143813268E+00
4.78665938467774E+00,3.02558252875490E+00,1.01189867593709E+03,1.87351550916488E+04,5.99938365059207E+00
5.47055744662685E+00,3.04026900560870E+00,1.01316344121875E+03,1.86956861614519E+04,5.99929585116069E+00
6.15447787313829E+00,3.05507516882241E+00,1.01460514139621E+03,1.86569587799618E+04,5.99920800287169E+00
6.83842067782773E+00,3.07000814441727E+00,1.01622450275302E+03,1.86189501538636E+04,5.99912006879287E+00
7.52238588372158E+00,3.08507518852707E+00,1.01802234472313E+03,1.85816377246335E+04,5.99903201198034E+00
8.20637352326197E+00,3.10028369014207E+00,1.01999958054996E+03,1.85449991606368E+04,5.99894379543240E+00
8.89038363832346E+00,3.11564117403763E+00,1.02215721802719E+03,1.85090123494659E+04,5.99885538204357E+00
9.57441628024144E+00,3.13115530389889E+00,1.02449636032199E+03,1.84736553904973E+04,5.99876673455853E+00
1.02584715098523E+01,3.14683388565513E+00,1.02701820688148E+03,1.84389065876402E+04,5.99867781552599E+00
1.09425493975457E+01,3.16268487104014E+00,1.02972405442331E+03,1.84047444422445E+04,5.99858858725236E+00
1.16266500233277E+01,3.17871636139780E+00,1.03261529801157E+03,1.83711476461279E+04,5.99849901175515E+00
1.23107734768971E+01,3.19493661175628E+00,1.03569343221891E+03,1.83380950746762E+04,5.99840905071595E+00
1.29949198577331E+01,3.21135403519814E+00,1.03896005237635E+03,1.83055657799600E+04,5.99831866543295E+00
1.36790892751947E+01,3.22797720755907E+00,1.04241685591191E+03,1.82735389838016E+04,5.99822781677291E+00
