##  Star in a Box 
## https://lco.global/starinabox 
## Data for an 8 solar mass star
## Columns are:
## Time, Radius (R_sun), Luminosity (L_sun), Surface Temperature (K), Mass (M_sun)
0.00000000000000E+00,3.45673843971455E+00,2.68273014489165E+03,2.23660105426100E+04,8.00000000000000E+00
3.71498656664148E-01,3.47351873551273E+00,2.68261036649527E+03,2.23116718694466E+04,7.99966176106028E+00
7.43028760247243E-01,3.49038726961512E+00,2.68299299926932E+03,2.22584856747117E+04,7.99932438696037E+00
1.11459023488458E+00,3.50735117653727E+00,2.68387806864905E+03,2.22064229266581E+04,7.99898771979065E+00
1.48618301936400E+00,3.52441772322069E+00,2.68526588369998E+03,2.21554549673538E+04,7.99865160300301E+00
1.85780706700779E+00,3.54159431089368E+00,2.68715703696581E+03,2.21055534999205E+04,7.99831588118929E+00
2.22946234557505E+00,3.55888847708406E+00,2.68955240458715E+03,2.20566905761651E+04,7.99798039986340E+00
2.60114883718421E+00,3.57630789778865E+00,2.69245314668960E+03,2.20088385845929E+04,7.99764500524640E+00
2.97286653825555E+00,3.59386038980478E+00,2.69586070804021E+03,2.19619702387906E+04,7.99730954405414E+00
3.34461545947335E+00,3.61155391322969E+00,2.69977681897175E+03,2.19160585661669E+04,7.99697386328695E+00
3.71639562576761E+00,3.62939657413452E+00,2.70420349657438E+03,2.18710768970351E+04,7.99663781002088E+00
4.08820707631521E+00,3.64739662742079E+00,2.70914304615487E+03,2.18269988540219E+04,7.99630123119999E+00
4.46004986456046E+00,3.66556247986854E+00,2.71459806296384E+03,2.17837983417827E+04,7.99596397342931E+00
4.83192405825486E+00,3.68390269338730E+00,2.72057143419166E+03,2.17414495369998E+04,7.99562588276785E+00
5.20382973951636E+00,3.70242598848329E+00,2.72706634123426E+03,2.16999268786335E+04,7.99528680452139E+00
5.57576700490786E+00,3.72114124795884E+00,2.73408626223015E+03,2.16592050583946E+04,7.99494658303438E+00
5.94773596553531E+00,3.74005752086368E+00,2.74163497487048E+03,2.16192590113928E+04,7.99460506148071E+00
6.31973674716542E+00,3.75918402672135E+00,2.74971655948417E+03,2.15800639069146E+04,7.99426208165271E+00
6.69176949036314E+00,3.77853016005901E+00,2.75833540240061E+03,2.15415951392670E+04,7.99391748374799E+00
7.06383435064928E+00,3.79810549527392E+00,2.76749619959248E+03,2.15038283186194E+04,7.99357110615373E+00
7.43593149867839E+00,3.81791979187679E+00,2.77720396060185E+03,2.14667392617569E+04,7.99322278522780E+00
7.80806112043730E+00,3.83798300015875E+00,2.78746401275280E+03,2.14303039826479E+04,7.99287235507640E+00
8.18022341746469E+00,3.85830526733768E+00,2.79828200565428E+03,2.13944986827116E+04,7.99251964732762E+00
8.55241860709200E+00,3.87889694424861E+00,2.80966391599710E+03,2.13592997406525E+04,7.99216449090053E+00
8.92464692270634E+00,3.89976859265394E+00,2.82161605264923E+03,2.13246837017102E+04,7.99180671176921E+00
9.29690861403562E+00,3.92093099326130E+00,2.83414506205417E+03,2.12906272661494E+04,7.99144613272136E+00
9.66920394745672E+00,3.94239515455032E+00,2.84725793393691E+03,2.12571072767946E+04,7.99108257311085E+00
1.00415332063270E+01,3.96417232252522E+00,2.86096200732295E+03,2.12241007053840E+04,7.99071584860379E+00
1.04138966913405E+01,3.98627399152699E+00,2.87526497687556E+03,2.11915846374909E+04,7.99034577091749E+00
1.07862947209079E+01,4.00871191625807E+00,2.89017489955714E+03,2.11595362557323E+04,7.98997214755196E+00
1.11587276315635E+01,4.03149812519392E+00,2.90570020162066E+03,2.11279328209483E+04,7.98959478151315E+00
1.15311957783975E+01,4.05464493557902E+00,2.92184968593746E+03,2.10967516510029E+04,7.98921347102761E+00
1.19036995355163E+01,4.07816497023169E+00,2.93863253966809E+03,2.10659700968204E+04,7.98882800924789E+00
1.22762392965305E+01,4.10207117641038E+00,2.95605834228298E+03,2.10355655152274E+04,7.98843818394806E+00
1.26488154750722E+01,4.12637684702685E+00,2.97413707394010E+03,2.10055152381339E+04,7.98804377720894E+00
1.30214285053428E+01,4.15109564452649E+00,2.99287912422726E+03,2.09757965375360E+04,7.98764456509221E+00
1.33940788426918E+01,4.17624162779545E+00,3.01229530127643E+03,2.09463865857798E+04,7.98724031730305E+00
1.37667669642279E+01,4.20182928249726E+00,3.03239684125850E+03,2.09172624104714E+04,7.98683079684052E+00
1.41394933694646E+01,4.22787355528884E+00,3.05319541826650E+03,2.08884008433702E+04,7.98641575963519E+00
1.45122585809993E+01,4.25438989241826E+00,3.07470315459591E+03,2.08597784625417E+04,7.98599495417338E+00
1.48850631452301E+01,4.28139428326391E+00,3.09693263143110E+03,2.08313715269915E+04,7.98556812110741E+00
1.52579076331094E+01,4.30890330943790E+00,3.11989689994676E+03,2.08031559029409E+04,7.98513499285134E+00
1.56307926409370E+01,4.33693420014616E+00,3.14360949283406E+03,2.07751069808409E+04,7.98469529316152E+00
1.60037187911934E+01,4.36550489457390E+00,3.16808443626102E+03,2.07471995821548E+04,7.98424873670154E+00
1.63766867334162E+01,4.39463411214940E+00,3.19333626227722E+03,2.07194078548763E+04,7.98379502859103E+00
1.67496971451190E+01,4.42434143163148E+00,3.21938002167321E+03,2.06917051566739E+04,7.98333386393770E+00
1.71227507327570E+01,4.45464738006797E+00,3.24623129730510E+03,2.06640639244870E+04,7.98286492735253E+00
1.74958482327396E+01,4.48557353278469E+00,3.27390621789546E+03,2.06364555293225E+04,7.98238789244737E+00
1.78689904124912E+01,4.51714262568829E+00,3.30242147232171E+03,2.06088501149277E+04,7.98190242131497E+00
1.82421780715641E+01,4.54937868130299E+00,3.33179432440366E+03,2.05812164189401E+04,7.98140816399116E+00
1.86154120428029E+01,4.58230715011245E+00,3.36204262820234E+03,2.05535215750413E+04,7.98090475789909E+00
1.89886931935643E+01,4.61595506894514E+00,3.39318484384253E+03,2.05257308945650E+04,7.98039182727573E+00
1.93620224269927E+01,4.65035123832748E+00,3.42524005387191E+03,2.04978076259377E+04,7.97986898258068E+00
1.97354006833541E+01,4.68552642093501E+00,3.45822798017040E+03,2.04697126902607E+04,7.97933581988803E+00
2.01088289414305E+01,4.72151356350184E+00,3.49216900142368E+03,2.04414043912721E+04,7.97879192026165E+00
2.04823082199756E+01,4.75834804480503E+00,3.52708417117568E+03,2.04128380978669E+04,7.97823684911513E+00
2.08558395792338E+01,4.79606795262765E+00,3.56299523647557E+03,2.03839658972963E+04,7.97767015555738E+00
2.12294241225254E+01,4.83471439292681E+00,3.59992465713564E+03,2.03547362171213E+04,7.97709137172584E+00
